'Titulo','Direcao','Nota','Link','Ano','Categoria'
'O Poderoso Chefão','DireçãoFrancis Ford Coppola','4.8','http://www.adorocinema.com/filmes/filme-1628/','24 de março de 1972','Drama, Policial'
'Um Sonho de Liberdade','DireçãoFrank Darabont','4.8','http://www.adorocinema.com/filmes/filme-11736/','25 de janeiro de 1995','Drama'
'A Lista de Schindler','DireçãoSteven Spielberg','3.9','http://www.adorocinema.com/filmes/filme-9393/','31 de dezembro de 1993','Biopic, Drama, Histórico'
'Forrest Gump - O Contador de Histórias','DireçãoRobert Zemeckis','4.7','http://www.adorocinema.com/filmes/filme-10568/','7 de dezembro de 1994','Comédia, Drama, Romance'
'O Rei Leão','DireçãoRoger Allers Rob Minkoff','4.7','http://www.adorocinema.com/filmes/filme-10862/','8 de julho de 1994','Animação, Aventura, Comédia Musical, Família'
'À Espera de um Milagre','DireçãoFrank Darabont','4.7','http://www.adorocinema.com/filmes/filme-22779/','10 de março de 2000','Drama, Fantasia, Policial'
'O Senhor dos Anéis - O Retorno do Rei','DireçãoPeter Jackson','4.7','http://www.adorocinema.com/filmes/filme-39187/','25 de dezembro de 2003','Aventura, Fantasia'
'Batman - O Cavaleiro Das Trevas','DireçãoChristopher Nolan','4.7','http://www.adorocinema.com/filmes/filme-115362/','18 de julho de 2008','Ação, Suspense'
'Vingadores: Ultimato','DireçãoJoe Russo Anthony Russo','3.9','http://www.adorocinema.com/filmes/filme-232669/','25 de abril de 2019','Aventura, Ação, Ficção Científica'
'O Poderoso Chefão 2','DireçãoFrancis Ford Coppola','4.7','http://www.adorocinema.com/filmes/filme-28201/','20 de dezembro de 1974','Drama, Policial'
'Vingadores: Guerra Infinita','DireçãoJoe Russo Anthony Russo','3.6','http://www.adorocinema.com/filmes/filme-218265/','26 de abril de 2018','Aventura, Ação, Ficção Científica'
'O Auto da Compadecida','DireçãoGuel Arraes','4.7','http://www.adorocinema.com/filmes/filme-120824/','10 de setembro de 2000','Aventura, Comédia'
'Gladiador','DireçãoRidley Scott','4.7','http://www.adorocinema.com/filmes/filme-24944/','19 de maio de 2000','Aventura, Ação, Histórico'
'O Resgate do Soldado Ryan','DireçãoSteven Spielberg','4.7','http://www.adorocinema.com/filmes/filme-18598/','11 de setembro de 1998','Drama, Guerra'
'Viva - A Vida é uma Festa','DireçãoLee Unkrich Adrian Molina','3.7','http://www.adorocinema.com/filmes/filme-206775/','4 de janeiro de 2018','Animação, Família, Fantasia'
'De Volta para o Futuro','DireçãoRobert Zemeckis','4.7','http://www.adorocinema.com/filmes/filme-448/','25 de dezembro de 1985','Aventura, Comédia, Ficção Científica'
'Django Livre','DireçãoQuentin Tarantino','4.3','http://www.adorocinema.com/filmes/filme-190918/','18 de janeiro de 2013','Faroeste'
'O Silêncio dos Inocentes','DireçãoJonathan Demme','4.6','http://www.adorocinema.com/filmes/filme-6641/','17 de maio de 1991','Policial, Suspense, Terror'
'O Senhor dos Anéis - A Sociedade do Anel','DireçãoPeter Jackson','4.6','http://www.adorocinema.com/filmes/filme-27070/','1 de janeiro de 2002','Aventura, Fantasia'
'O Senhor dos Anéis - As Duas Torres','DireçãoPeter Jackson','4.6','http://www.adorocinema.com/filmes/filme-39186/','27 de dezembro de 2002','Aventura, Fantasia'
'Intocáveis','DireçãoEric Toledano Olivier Nakache','3.0','http://www.adorocinema.com/filmes/filme-182745/','31 de agosto de 2012','Biopic, Comédia, Drama'
'Interestelar','DireçãoChristopher Nolan','3.8','http://www.adorocinema.com/filmes/filme-114782/','6 de novembro de 2014','Drama, Ficção Científica'
'Sempre ao Seu Lado','DireçãoChristopher Nolan','4.6','http://www.adorocinema.com/filmes/filme-128959/','25 de dezembro de 2009','Drama, Família'
'Toy Story - Um Mundo de Aventuras','DireçãoJohn Lasseter','4.6','http://www.adorocinema.com/filmes/filme-14264/','22 de dezembro de 1995','Animação, Comédia, Família'
'Três Homens em Conflito','DireçãoSergio Leone','4.6','http://www.adorocinema.com/filmes/filme-19395/','1 de outubro de 2020','Faroeste'
'À Procura da Felicidade','DireçãoGabriele Muccino','4.6','http://www.adorocinema.com/filmes/filme-54098/','2 de fevereiro de 2007','Biopic, Drama'
'Toy Story 3','DireçãoLee Unkrich','4.6','http://www.adorocinema.com/filmes/filme-126123/','18 de junho de 2010','Animação, Aventura, Comédia, Fantasia'
'Harry Potter e as Relíquias da Morte - Parte 2','DireçãoDavid Yates','4.6','http://www.adorocinema.com/filmes/filme-134925/','15 de julho de 2011','Aventura, Fantasia'
'Divertida Mente','DireçãoPete Docter','4.5','http://www.adorocinema.com/filmes/filme-196960/','18 de junho de 2015','Animação, Comédia, Família'
'Cantando na Chuva','DireçãoStanley Donen Gene Kelly','4.6','http://www.adorocinema.com/filmes/filme-5120/','30 de junho de 1952','Comédia Musical'
'Bastardos Inglórios','DireçãoQuentin Tarantino','4.6','http://www.adorocinema.com/filmes/filme-60208/','9 de outubro de 2009','Ação, Guerra'
'Ben-Hur','DireçãoWilliam Wyler','4.6','http://www.adorocinema.com/filmes/filme-1532/','29 de janeiro de 1960','Aventura, Drama, Histórico, Épico'
'Star Wars: O Império Contra-ataca','DireçãoIrvin Kershner','4.6','http://www.adorocinema.com/filmes/filme-25802/','21 de julho de 1980','Aventura, Ficção Científica'
'Homens de Honra','DireçãoIrvin Kershner','4.6','http://www.adorocinema.com/filmes/filme-27434/','23 de março de 2001','Biopic, Drama'
'Até o Último Homem','DireçãoMel Gibson','3.3','http://www.adorocinema.com/filmes/filme-208104/','26 de janeiro de 2017','Biopic, Drama, Guerra'
'A Origem','DireçãoChristopher Nolan','4.6','http://www.adorocinema.com/filmes/filme-143692/','6 de agosto de 2010','Ficção Científica, Suspense'
'Logan','DireçãoJames Mangold','4.0','http://www.adorocinema.com/filmes/filme-225116/','2 de março de 2017','Ação, Ficção Científica'
'O Sexto Sentido','DireçãoM. Night Shyamalan','4.6','http://www.adorocinema.com/filmes/filme-22092/','22 de outubro de 1999','Drama, Suspense'
'Histórias Cruzadas','DireçãoTate Taylor','3.2','http://www.adorocinema.com/filmes/filme-176673/','3 de fevereiro de 2012','Drama'
'Wall-E','DireçãoAndrew Stanton','4.6','http://www.adorocinema.com/filmes/filme-123734/','27 de junho de 2008','Animação, Aventura, Família, Ficção Científica'
'Matrix','DireçãoLana Wachowski Lilly Wachowski','4.6','http://www.adorocinema.com/filmes/filme-19776/','21 de maio de 1999','Ação, Ficção Científica'
'Coringa','DireçãoTodd Phillips','4.2','http://www.adorocinema.com/filmes/filme-258374/','3 de outubro de 2019','Drama'
'A Bela e a Fera','DireçãoGary Trousdale Kirk Wise','4.8','http://www.adorocinema.com/filmes/filme-7229/','10 de julho de 1992','Animação, Comédia Musical, Família, Romance'
'Seven - Os Sete Crimes Capitais','DireçãoDavid Fincher','4.6','http://www.adorocinema.com/filmes/filme-13892/','15 de dezembro de 1995','Drama, Policial, Suspense'
'O Pianista','DireçãoRoman Polanski','4.6','http://www.adorocinema.com/filmes/filme-28359/','7 de março de 2003','Drama, Histórico'
'Batman - O Cavaleiro das Trevas Ressurge','DireçãoChristopher Nolan','4.0','http://www.adorocinema.com/filmes/filme-132874/','27 de julho de 2012','Ação, Suspense'
'Jurassic Park - Parque dos Dinossauros','DireçãoSteven Spielberg','5.0','http://www.adorocinema.com/filmes/filme-8488/','13 de junho de 1993','Aventura, Ficção Científica'
'Procurando Nemo','DireçãoAndrew Stanton Lee Unkrich','4.5','http://www.adorocinema.com/filmes/filme-29057/','4 de julho de 2003','Animação, Aventura, Família'
'Coração Valente','DireçãoMel Gibson','4.6','http://www.adorocinema.com/filmes/filme-10080/','14 de julho de 1995','Biopic, Drama, Histórico'
'A Noviça Rebelde','DireçãoRobert Wise','4.6','http://www.adorocinema.com/filmes/filme-238/','3 de maio de 1965','Comédia Musical, Drama, Família'
